,onset_time,sound_frequency,target_interval,response
84,362.7259375,1000,1,1
85,365.708359375,1000,1,1
86,368.2571875,1000,1,1
87,371.013046875,1200,2,1
88,373.259140625,1000,1,1
89,375.462265625,1000,1,1
90,377.688828125,1000,1,1
91,379.94078125,1000,1,2
92,382.81578125,1200,2,2
93,384.95640625,1000,1,2
94,387.622421875,1000,1,1
95,389.524765625,1000,1,1
96,392.0540625,1000,2,1
97,394.32359375,1200,1,1
98,397.17125,1000,1,1
99,399.208359375,1200,1,2
100,430.739609375,1000,1,1
101,432.860703125,1000,1,1
102,434.87046875,1000,1,1
103,437.095078125,1000,1,1
104,439.376328125,1000,1,1
105,441.4603125,1200,1,2
106,444.31578125,1000,2,2
107,445.860703125,1000,1,1
108,448.380234375,1000,2,2
109,449.95640625,1000,1,1
110,452.087265625,1000,1,2
111,454.37046875,1000,1,1
112,456.270859375,1200,1,1
113,458.388046875,1000,1,1
114,460.63609375,1200,1,2
115,466.098984375,1000,2,2
116,468.704453125,1200,1,1
117,471.936875,1200,1,1
118,474.47984375,1200,2,1
119,476.704453125,1000,1,1
120,478.888046875,1000,1,1
121,481.01890625,1000,1,2
122,484.036484375,1000,1,1
123,486.552109375,1000,1,2
124,489.774765625,1200,1,2
125,493.34703125,1200,2,1
126,496.3353125,1000,1,2
127,502.73765625,1000,1,1
128,505.470078125,1000,2,2
129,507.01890625,1200,1,2
130,510.11265625,1000,2,2
131,512.8040625,1000,1,1
132,514.766953125,1000,1,2
133,518.11265625,1000,2,2
134,520.259140625,1000,2,2
135,521.602890625,1000,1,1
136,523.786484375,1000,1,2
137,526.052109375,1000,1,1
138,528.423203125,1000,2,2
139,530.61265625,1000,2,2
140,531.919296875,1000,1,1
141,533.749375,1000,1,1
142,535.76890625,1000,1,1
143,538.091171875,1200,2,1
144,541.12046875,1000,1,2
145,544.5696875,1200,1,2
146,547.345078125,1000,1,1
147,549.450546875,1200,1,2
148,552.653671875,1000,1,1
149,555.263046875,1200,2,2
150,606.696640625,1000,1,1
151,609.173203125,1200,2,2
152,610.718125,1000,1,1
153,612.602890625,1200,1,1
154,614.829453125,1000,1,1
155,616.934921875,1200,1,1
156,620.141953125,1200,2,2
157,622.141953125,1200,2,2
158,623.6321875,1200,1,1
159,625.899765625,1200,1,1
160,628.030625,1000,1,1
161,630.251328125,1200,1,1
162,632.61265625,1000,2,2
163,633.96421875,1000,1,1
164,636.67515625,1000,2,2
165,638.657578125,1200,2,2
166,640.67515625,1000,2,2
167,642.298203125,1200,1,1
168,644.90171875,1000,2,2
169,647.0071875,1000,2,2
170,648.499375,1000,1,2
171,651.841171875,1000,2,2
172,653.317734375,1000,1,1
173,655.911484375,1000,1,1
174,658.024765625,1200,1,1
175,660.88609375,1000,1,1
176,663.001328125,1000,1,1
177,665.5696875,1000,2,2
178,667.556015625,1000,2,2
179,669.42125,1200,2,2
180,670.880234375,1000,1,1
181,673.2571875,1000,2,2
182,675.239609375,1000,2,2
183,676.86265625,1000,1,1
