,subjectID,frequency,is_rare,is_tone,response
456,2,1200,1,0,0
457,2,1000,0,0,0
458,2,1000,0,0,0
459,2,1000,0,0,0
460,2,1000,0,0,0
461,2,1000,0,0,0
462,2,1200,1,0,1
463,2,1000,0,0,0
464,2,1000,0,0,0
465,2,1200,1,0,1
466,2,1200,1,0,0
467,2,1000,0,0,0
468,2,1000,0,1,1
469,2,1000,0,1,1
470,2,1000,0,1,1
471,2,1000,0,0,1
472,2,1000,0,0,0
473,2,1200,1,0,1
474,2,1200,1,0,0
475,2,1000,0,0,0
476,2,1000,0,1,1
477,2,1000,0,1,1
478,2,1000,0,0,0
479,2,1000,0,0,0
480,2,1000,0,1,1
481,2,1200,1,1,0
482,2,1000,0,1,0
483,2,1000,0,1,0
484,2,1000,0,1,1
485,2,1200,1,0,1
486,2,1200,1,0,0
487,2,1200,1,1,0
488,2,1200,1,1,0
489,2,1000,0,1,1
490,2,1000,0,0,0
491,2,1200,1,0,1
492,2,1000,0,0,1
493,2,1000,0,0,0
494,2,1000,0,1,1
495,2,1000,0,0,1
496,2,1000,0,1,1
497,2,1200,1,0,1
498,2,1000,0,0,0
499,2,1000,0,0,0
500,2,1000,0,1,1
501,2,1200,1,0,0
502,2,1000,0,0,0
503,2,1000,0,0,0
504,2,1000,0,0,0
505,2,1000,0,0,0
506,2,1000,0,0,1
507,2,1000,0,1,1
508,2,1200,1,0,0
509,2,1000,0,0,0
510,2,1200,1,0,0
511,2,1000,0,1,1
512,2,1000,0,0,1
513,2,1200,1,0,0
514,2,1000,0,0,0
515,2,1000,0,0,1
516,2,1000,0,0,0
517,2,1000,0,0,1
518,2,1200,1,1,0
519,2,1200,1,0,0
520,2,1000,0,0,0
521,2,1000,0,0,0
522,2,1000,0,0,0
523,2,1000,0,0,1
524,2,1000,0,1,1
525,2,1000,0,0,0
526,2,1200,1,0,0
527,2,1000,0,0,1
528,2,1200,1,0,0
529,2,1000,0,0,1
530,2,1000,0,0,0
531,2,1000,0,0,0
532,2,1000,0,0,0
533,2,1000,0,0,1
534,2,1000,0,0,0
535,2,1000,0,0,0
536,2,1000,0,0,0
537,2,1000,0,0,0
538,2,1000,0,0,0
539,2,1200,1,0,0
540,2,1000,0,0,0
541,2,1000,0,1,1
542,2,1000,0,0,1
543,2,1000,0,0,1
544,2,1000,0,0,0
545,2,1000,0,1,1
546,2,1000,0,0,0
547,2,1000,0,0,0
548,2,1000,0,1,1
549,2,1200,1,0,1
550,2,1000,0,0,0
551,2,1200,1,0,1
552,2,1000,0,0,0
553,2,1000,0,0,0
554,2,1000,0,0,0
555,2,1200,1,1,0
556,2,1000,0,1,1
557,2,1000,0,1,1
558,2,1000,0,0,0
559,2,1200,1,0,1
560,2,1000,0,0,0
561,2,1000,0,1,1
562,2,1000,0,0,1
563,2,1200,1,0,0
564,2,1000,0,0,0
565,2,1000,0,0,0
566,2,1200,1,0,0
567,2,1200,1,1,0
568,2,1000,0,1,1
569,2,1000,0,0,0
